speaker,bigram,n,total
Larry Hogan (MD-R),mdsots https,9,9859
Larry Hogan (MD-R),ongoing response,8,9859
Larry Hogan (MD-R),live covid,7,9859
Larry Hogan (MD-R),press conference,7,9859
Larry Hogan (MD-R),visit https,7,9859
Larry Hogan (MD-R),wethestates https,7,9859
Laura Kelly (KS-D),https t.co,459,15282
Laura Kelly (KS-D),ksleg https,38,15282
Laura Kelly (KS-D),visit https,12,15282
Laura Kelly (KS-D),website https,9,15282
Laura Kelly (KS-D),health care,8,15282
Laura Kelly (KS-D),press conference,8,15282
Laura Kelly (KS-D),social distancing,8,15282
Laura Kelly (KS-D),stateofthestate ksleg,8,15282
Laura Kelly (KS-D),stay home,8,15282
Laura Kelly (KS-D),blackhistorymonth https,7,15282
Mark Gordon (WY-R),https t.co,96,4440
Mark Gordon (WY-R),social distancing,11,4440
Mark Gordon (WY-R),staying home,6,4440
Mark Gordon (WY-R),public health,5,4440
Mark Gordon (WY-R),facebook page,4,4440
Mark Gordon (WY-R),health officer,4,4440
Mark Gordon (WY-R),visit https,4,4440
Mark Gordon (WY-R),distancing measures,3,4440
Mark Gordon (WY-R),gowyo https,3,4440
Mark Gordon (WY-R),invasive species,3,4440
Michelle Lujan Grishom (NM-D),https t.co,444,22172
Michelle Lujan Grishom (NM-D),nmgov nmleg,68,22172
Michelle Lujan Grishom (NM-D),stay home,40,22172
Michelle Lujan Grishom (NM-D),alltogethernm https,37,22172
Michelle Lujan Grishom (NM-D),nmleg https,35,22172
Michelle Lujan Grishom (NM-D),public health,29,22172
Michelle Lujan Grishom (NM-D),health care,28,22172
Michelle Lujan Grishom (NM-D),nmgov https,27,22172
Michelle Lujan Grishom (NM-D),health officials,21,22172
Michelle Lujan Grishom (NM-D),tax credit,16,22172
Mike DeWine (OH-R),https t.co,865,35946
Mike DeWine (OH-R),inthistogetherohio stayhomeohio,53,35946
Mike DeWine (OH-R),inthistogetherohio https,42,35946
Mike DeWine (OH-R),ohio https,23,35946
Mike DeWine (OH-R),save lives,20,35946
Mike DeWine (OH-R),ohiofindithere https,19,35946
Mike DeWine (OH-R),stayhomeohio https,19,35946
Mike DeWine (OH-R),ohio counties,18,35946
Mike DeWine (OH-R),stay home,18,35946
Mike DeWine (OH-R),age range,17,35946
Mike Dunleavy (AK-R),https t.co,116,4851
Mike Dunleavy (AK-R),akleg akgov,31,4851
Mike Dunleavy (AK-R),watch live,12,4851
Mike Dunleavy (AK-R),public health,10,4851
Mike Dunleavy (AK-R),health officials,9,4851
Mike Dunleavy (AK-R),akgov akleg,7,4851
Mike Dunleavy (AK-R),flattenthecurve akgov,7,4851
Mike Dunleavy (AK-R),alaska's public,6,4851
Mike Dunleavy (AK-R),resource development,6,4851
Mike Dunleavy (AK-R),alaska reads,5,4851
Mike Parson (MO-R),https t.co,956,33896
Mike Parson (MO-R),missouriproud https,39,33896
Mike Parson (MO-R),st louis,39,33896
Mike Parson (MO-R),visit https,36,33896
Mike Parson (MO-R),missourisots https,25,33896
Mike Parson (MO-R),governor mike,24,33896
Mike Parson (MO-R),mike parson,23,33896
Mike Parson (MO-R),workforce development,22,33896
Mike Parson (MO-R),president realdonaldtrump,21,33896
Mike Parson (MO-R),missouriforward https,20,33896
Ned Lamont (CT-D),https t.co,887,28633
Ned Lamont (CT-D),news briefing,51,28633
Ned Lamont (CT-D),response efforts,35,28633
Ned Lamont (CT-D),connecticut residents,28,28633
Ned Lamont (CT-D),tested positive,27,28633
Ned Lamont (CT-D),live https,23,28633
Ned Lamont (CT-D),public health,23,28633
Ned Lamont (CT-D),watch live,22,28633
Ned Lamont (CT-D),provide updates,21,28633
Ned Lamont (CT-D),visit https,17,28633
Pete Ricketts (NE-R),https t.co,823,24920
Pete Ricketts (NE-R),gov ricketts,30,24920
Pete Ricketts (NE-R),property tax,26,24920
Pete Ricketts (NE-R),pete ricketts,25,24920
Pete Ricketts (NE-R),tax relief,23,24920
Pete Ricketts (NE-R),task force,20,24920
Pete Ricketts (NE-R),coronavirus task,19,24920
Pete Ricketts (NE-R),gov pete,18,24920
Pete Ricketts (NE-R),president realdonaldtrump,18,24920
Pete Ricketts (NE-R),press conference,18,24920
Phil Murphy (NJ-D),https t.co,1134,50440
Phil Murphy (NJ-D),health care,75,50440
Phil Murphy (NJ-D),social distancing,54,50440
Phil Murphy (NJ-D),public health,46,50440
Phil Murphy (NJ-D),visit https,40,50440
Phil Murphy (NJ-D),governor murphy,32,50440
Phil Murphy (NJ-D),strongerfairernj https,32,50440
Phil Murphy (NJ-D),clean energy,30,50440
Phil Murphy (NJ-D),mental health,29,50440
Phil Murphy (NJ-D),stay home,28,50440
Phil Scott (VT-R),https t.co,120,8303
Phil Scott (VT-R),vtpoli https,15,8303
Phil Scott (VT-R),african american,7,8303
Phil Scott (VT-R),budget includes,6,8303
Phil Scott (VT-R),essex county,5,8303
Phil Scott (VT-R),stay home,5,8303
Phil Scott (VT-R),visit https,5,8303
Phil Scott (VT-R),coronavirus visit,4,8303
Phil Scott (VT-R),demographic crisis,4,8303
Phil Scott (VT-R),mental health,4,8303
Ralph Northam (VA-D),https t.co,263,10842
Ralph Northam (VA-D),public health,18,10842
Ralph Northam (VA-D),t.co sndepsaktg,18,10842
Ralph Northam (VA-D),health care,10,10842
Ralph Northam (VA-D),visit https,10,10842
Ralph Northam (VA-D),ralph northam,9,10842
Ralph Northam (VA-D),watch live,8,10842
Ralph Northam (VA-D),criminal justice,7,10842
Ralph Northam (VA-D),health crisis,7,10842
Ralph Northam (VA-D),gov ralph,6,10842
Ron DeSantis (FL-R),https t.co,93,4391
Ron DeSantis (FL-R),hurricane recovery,5,4391
Ron DeSantis (FL-R),i’m pleased,5,4391
Ron DeSantis (FL-R),de covid,4,4391
Ron DeSantis (FL-R),low taxes,4,4391
Ron DeSantis (FL-R),actualización visite,3,4391
Ron DeSantis (FL-R),communities recover,3,4391
Ron DeSantis (FL-R),florida remains,3,4391
Ron DeSantis (FL-R),grant program,3,4391
Ron DeSantis (FL-R),health care,3,4391
Roy Cooper (NC-D),https t.co,396,15623
Roy Cooper (NC-D),gov cooper,61,15623
Roy Cooper (NC-D),north carolina,57,15623
Roy Cooper (NC-D),north carolinians,43,15623
Roy Cooper (NC-D),task force,30,15623
Roy Cooper (NC-D),coronavirus task,27,15623
Roy Cooper (NC-D),health care,21,15623
Roy Cooper (NC-D),nc_governor cooper,20,15623
Roy Cooper (NC-D),rc https,16,15623
Roy Cooper (NC-D),winter weather,14,15623
Steve Bullock (MT-D),https t.co,77,5208
Steve Bullock (MT-D),public health,10,5208
Steve Bullock (MT-D),social distancing,7,5208
Steve Bullock (MT-D),public lands,6,5208
Steve Bullock (MT-D),health care,4,5208
Steve Bullock (MT-D),national guard,4,5208
Steve Bullock (MT-D),day https,3,5208
Steve Bullock (MT-D),future leaders,3,5208
Steve Bullock (MT-D),grocery store,3,5208
Steve Bullock (MT-D),health officials,3,5208
Steve Sisolak (NV-D),https t.co,521,21031
Steve Sisolak (NV-D),las vegas,21,21031
Steve Sisolak (NV-D),health care,15,21031
Steve Sisolak (NV-D),stayhomefornevada https,14,21031
Steve Sisolak (NV-D),carson city,11,21031
Steve Sisolak (NV-D),press conference,11,21031
Steve Sisolak (NV-D),social distancing,10,21031
Steve Sisolak (NV-D),visit https,9,21031
Steve Sisolak (NV-D),facebook live,8,21031
Steve Sisolak (NV-D),health response,8,21031
Tate Reeves (MS-R),https t.co,257,12516
Tate Reeves (MS-R),stay safe,17,12516
Tate Reeves (MS-R),public health,9,12516
Tate Reeves (MS-R),unemployment benefits,9,12516
Tate Reeves (MS-R),gov tatereeves,8,12516
Tate Reeves (MS-R),mississippi https,8,12516
Tate Reeves (MS-R),inauguration day,7,12516
Tate Reeves (MS-R),law enforcement,6,12516
Tate Reeves (MS-R),stay home,6,12516
Tate Reeves (MS-R),executive director,5,12516
Tim Walz (MN-D),https t.co,220,8128
Tim Walz (MN-D),stayhomemn https,19,8128
Tim Walz (MN-D),covid ー,17,8128
Tim Walz (MN-D),buildonemn https,12,8128
Tim Walz (MN-D),health care,12,8128
Tim Walz (MN-D),mnleg https,12,8128
Tim Walz (MN-D),oneminnesota https,12,8128
Tim Walz (MN-D),care providers,11,8128
Tim Walz (MN-D),child care,10,8128
Tim Walz (MN-D),top priority,6,8128
Tom Wolf (PA-D),https t.co,776,21632
Tom Wolf (PA-D),mental health,44,21632
Tom Wolf (PA-D),governortomwolf announced,31,21632
Tom Wolf (PA-D),health care,30,21632
Tom Wolf (PA-D),life sustaining,29,21632
Tom Wolf (PA-D),pennsylvania https,28,21632
Tom Wolf (PA-D),watch live,28,21632
Tom Wolf (PA-D),stay home,24,21632
Tom Wolf (PA-D),nellie bly,22,21632
Tom Wolf (PA-D),bly scholarship,21,21632
Tony Evers (WI-D),https t.co,340,12973
Tony Evers (WI-D),public health,21,12973
Tony Evers (WI-D),secretary designee,15,12973
Tony Evers (WI-D),health emergency,10,12973
Tony Evers (WI-D),andrea palm,9,12973
Tony Evers (WI-D),designee andrea,9,12973
Tony Evers (WI-D),dhswi secretary,9,12973
Tony Evers (WI-D),rural communities,8,12973
Tony Evers (WI-D),social distancing,8,12973
Tony Evers (WI-D),elected officials,7,12973
